Food;Day;Time;Target
Te verde. Yogurt natural sin azucar con copos de espelta. Kiwi;Lunes;Desayuno;hipo
Infusion. Uvas;Lunes;Almuerzo;hipo
Pure de calabacin y calabaza. Pollo al horno con patata y cebolla. Yogurt natural sin azucar;Lunes;Comida;hipo
Infusion. Dos mandarinas;Lunes;Merienda;hipo
Ensalada de tomate con tortilla de champiñones. Yogurt sin azucar;Lunes;Cena;hipo
Cafe con leche desnatada. Tostada de pan integral con hummus y tomate;Martes;Desayuno;hipo
Infusion. Dos kiwis;Martes;Almuerzo;hipo
Ensalada de judias verdes con espirales integrales y atun natural. Yogurt sin azucar;Martes;Comida;hipo
Infusion. Caqui;Martes;Merienda;hipo
Parrilladad e tomate, cabolla y pimiento rojo. Lubina a la plancha. Yogurt sin azucar;Martes;Cena;hipo
Leche desnatada con copos de avena y canela;Miercoles;Desayuno;hipo
Infusion. Dos mandarinas;Miercoles;Almuerzo;hipo
Ensalada de tomate con espinacas y quinoa. Merluza a la plancha. Yogurt sin azucar;Miercoles;Comida;hipo
Infusion. Uvas;Miercoles;Merienda;hipo
Pechuga de pollo a la planca con rodajas de tomate. Una manzana;Miercoles;Cena;hipo
Yogurt natural con quinoa. Frambuesas;Jueves;Desayuno;hipo
Infusion. Caqui;Jueves;Almuerzo;hipo
Espinacas salteadas con cebolla y lentejas. Dos kiwis;Jueves;Comida;hipo
Infusion. Una pera;Jueves;Merienda;hipo
Sopa de verduras con fideos. Tortilla de alcachofas. Yogurt natural;Jueves;Cena;hipo
Te negro. Tostada de pan con ricotta. Un kiwi;Viernes;Desayuno;hipo
Infusion. Una manzana;Viernes;Almuerzo;hipo
Brocoli con patata. Salmon al horno con limon. Yogurt natural;Viernes;Comida;hipo
Infusion. Una naranja;Viernes;Merienda;hipo
Ensalada de rucula, cebolla y zanahoria. Pavo a la plancha con boniato. Una pera;Viernes;Cena;hipo
Cafe con leche desnatada. Tostada de pan integral con crema de cacahuete;Sabado;Desayuno;hipo
Infusion. Dos kiwis;Sabado;Almuerzo;hipo
Pure de espinacas y zanahoria. Solomillo de ternera con cebolla. Un yogurt sin azucar;Sabado;Comida;hipo
Infusion. Uvas;Sabado;Merienda;hipo
Palitos de zanahoria y pepino con hummus. Sepia a la plancha con ajo y perejil. Un manzana;Sabado;Cena;hipo
Leche desnatada con copos de avena y canela;Domingo;Desayuno;hipo
Infusion. Una naranja;Domingo;Almuerzo;hipo
Espinacas salteadas con cebolla y lentejas. Un yogurt;Domingo;Comida;hipo
Infusion. Dos kiwis;Domingo;Merienda;hipo
Bacalado guisado con patata y verduras. Una pera;Domingo;Cena;hipo
Leche. Pan integral con mantequilla y mermelada o miel. Zumo de fruta;Lunes;Desayuno;normal
Menestra de verduras. Pescado a la plancha con patatas fritas y salsa de tomate. Fruta;Lunes;Comida;normal
Pan integral con chocolate. Yogur;Lunes;Merienda;normal
Ensalada variada. Surtido de fritos (croquetas, empanadillas, jamon y queso. Fruta;Lunes;Cena;normal
Yogur con cereales. Trozos de fruta fresca;Martes;Desayuno;normal
Ensalada mixta. Lomo de cerdo con Pure de patata y guisantes. Yogur;Martes;Comida;normal
Yogur y fruta;Martes;Merienda;normal
